Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,173.26,173.55,172.62,173.1,1800068.0,0.0,1.0,166.93765133594644,167.21706908319004,166.32100527306403,166.78348982022584,1800068.0
2017-12-27,171.33,172.74,170.845,172.67,1596817.0,0.0,1.0,165.0780780525667,166.43662640985448,164.6107759580386,166.3691807467267,1596817.0
2017-12-26,171.09,171.64,170.82,171.29,1280227.0,0.0,1.0,164.8468357789858,165.37676598927533,164.58668822120725,165.03953767363652,1280227.0
2017-12-22,171.375,172.04,170.55,171.42,3234143.0,0.0,1.0,165.1214359788631,165.76216977857683,164.32654066342877,165.1647939051595,3234143.0
2017-12-21,172.68,172.75,171.67,171.85,2341676.0,0.0,1.0,166.37881584145927,166.44626150458703,165.40567127347296,165.57910297865863,2341676.0
2017-12-20,173.55,173.88,171.71,172.17,2749398.0,0.0,1.0,167.21706908319004,167.53502720936376,165.4442116524031,165.88742601009983,2749398.0
2017-12-19,174.485,174.9,173.08,173.39,3122160.0,0.0,1.0,168.1179504406823,168.51780687208262,166.76421963076078,167.0629075674694,3122160.0
2017-12-18,174.99,175.78,174.11,174.2,2426228.0,0.0,1.0,168.60452272467546,169.36569520854593,167.75663438821215,167.84335024080497,2426228.0
2017-12-15,173.77,175.09,173.68,174.06,7435238.0,0.0,1.0,167.42904116730588,168.70087367200082,167.34232531471304,167.70845891454945,7435238.0
2017-12-14,173.47,174.08,172.83,173.14,2666925.0,0.0,1.0,167.13998832532974,167.72772910401454,166.52334226244733,166.822030199156,2666925.0
2017-12-13,172.44,173.96,172.4,173.55,2553974.0,0.0,1.0,166.14757356787837,167.6121079672241,166.10903318894822,167.21706908319004,2553974.0
2017-12-12,173.0,173.2,171.85,172.23,2805672.0,0.0,1.0,166.68713887290048,166.8798407675512,165.57910297865863,165.94523657849507,2805672.0
2017-12-11,172.94,173.25,172.22,173.25,2340780.0,0.0,1.0,166.62932830450524,166.9280162412139,165.93560148376253,166.9280162412139,2340780.0
2017-12-08,173.05,173.5429,172.51,173.15,2241049.0,0.0,1.0,166.73531434656317,167.21022816592992,166.21501923100612,166.83166529388853,2241049.0
2017-12-07,172.55,173.29,171.92,172.91,2283465.0,0.0,1.0,166.25355960993627,166.96655662014405,165.64654864178638,166.60042302030763,2283465.0
2017-12-06,173.39,174.44,173.0,173.48,2619223.0,0.0,1.0,167.0629075674694,168.07459251438587,166.68713887290048,167.14962342006226,2619223.0
2017-12-05,173.39,174.25,172.46,172.99,3228697.0,0.0,1.0,167.0629075674694,167.89152571446766,166.16684375734343,166.67750377816793,3228697.0
2017-12-04,173.27,173.48,170.43,170.65,3943095.0,0.0,1.0,166.947286430679,167.14962342006226,164.21091952663832,164.42289161075414,3943095.0
2017-12-01,172.77,173.15,170.39,172.87,4279176.0,0.0,1.0,166.46553169405212,166.83166529388853,164.17237914770814,166.56188264137748,4279176.0
2017-11-30,170.24,173.17,169.34,171.97,6023705.0,1.01,1.0,164.02785272672008,166.8509354833536,163.1606942007917,165.69472411544908,6023705.0
2017-11-29,171.7,172.02,169.05,170.43,4590301.0,0.0,1.0,164.46863296694767,164.77515575407304,161.93024113606586,163.25212065554393,4590301.0
2017-11-28,169.23,171.38,169.04,171.34,2909928.0,0.0,1.0,162.10266020382383,164.16211017982232,161.92066229896815,164.12379483143164,2909928.0
2017-11-27,168.9,169.18,168.09,168.96,2082510.0,0.0,1.0,161.78655857960084,162.05476601833553,161.01067277468977,161.84403160218685,2082510.0
2017-11-24,168.88,169.56,168.82,169.11,963233.0,0.0,1.0,161.76740090540548,162.41876182804688,161.70992788281947,161.98771415865184,963233.0
2017-11-22,169.27,170.35,168.6692,169.05,2719456.0,0.0,1.0,162.1409755522145,163.17548995876257,161.56547901938666,161.93024113606586,2719456.0
2017-11-21,167.55,169.26,167.51,168.3,2651659.0,0.0,1.0,160.49341557141574,162.13139671511684,160.45510022302506,161.2118283537408,2651659.0
2017-11-20,167.33,167.85,166.76,166.93,2442260.0,0.0,1.0,160.28268115526706,160.78078068434576,159.73668744070002,159.89952767136037,2442260.0
2017-11-17,167.54,167.7001,166.16,166.72,2221422.0,0.0,1.0,160.48383673431806,160.6371939162517,159.16195721484,159.69837209230934,2221422.0
2017-11-16,167.68,168.89,167.53,168.09,2291316.0,0.0,1.0,160.6179404536854,161.77697974250316,160.4742578972204,161.01067277468977,2291316.0
2017-11-15,167.69,168.69,167.15,167.32,2019256.0,0.0,1.0,160.62751929078308,161.5854030005498,160.11026208750906,160.27310231816938,2019256.0
2017-11-14,166.84,168.42,166.5701,168.11,2180089.0,0.0,1.0,159.81331813748136,161.3267743989128,159.55478532421532,161.02983044888512,2180089.0
2017-11-13,165.47,167.95,165.08,167.37,2605273.0,0.0,1.0,158.50101745510094,160.87656905532242,158.12744280829193,160.32099650365774,2605273.0
2017-11-10,166.4,166.8,163.52,165.59,4225707.0,0.0,1.0,159.391849305184,159.7750027890907,156.63314422105583,158.61596350027295,4225707.0
2017-11-09,168.72,169.2,166.1,167.0,4211770.0,0.0,1.0,161.6141395118428,162.07392369253083,159.10448419225398,159.96657953104403,4211770.0
2017-11-08,170.17,170.92,169.45,170.1,2604954.0,0.0,1.0,163.00307089100457,163.7214836733296,162.3133946199725,162.9360190313209,2604954.0
2017-11-07,170.1,170.82,169.52,170.77,2506006.0,0.0,1.0,162.9360190313209,163.62569530235294,162.3804464796562,163.57780111686463,2506006.0
2017-11-06,168.9,170.42,168.6,170.07,3088387.0,0.0,1.0,161.78655857960084,163.24254181844626,161.4991934666708,162.9072825200279,3088387.0
2017-11-03,168.0,169.45,167.6008,168.65,1959740.0,0.0,1.0,160.92446324081078,162.3133946199725,160.5420760638719,161.54708765215915,1959740.0
2017-11-02,166.99,168.47,166.5,168.1,2290055.0,0.0,1.0,159.95700069394638,161.37466858440112,159.48763767616066,161.02025161178744,2290055.0
2017-11-01,165.72,167.99,165.57,166.37,2186059.0,0.0,1.0,158.74048838254262,160.9148844037131,158.5968058260776,159.363112793891,2186059.0
2017-10-31,166.25,167.41,166.1295,166.91,2873004.0,0.0,1.0,159.248166748719,160.3593118520484,159.1327417616921,159.88036999716502,2873004.0
2017-10-30,165.0,166.56,164.665,166.23,2050106.0,0.0,1.0,158.05081211151057,159.54511069874667,157.72992106873872,159.22900907452365,2050106.0
2017-10-27,164.09,165.85,163.77,165.39,2298244.0,0.0,1.0,157.17913793562286,158.8650132648123,156.87261514849752,158.4243867583196,2298244.0
2017-10-26,164.14,164.65,163.75,164.01,2934412.0,0.0,1.0,157.22703212111116,157.71555281309222,156.85345747430216,157.1025072388415,2934412.0
2017-10-25,163.41,165.12,163.0,163.55,3321924.0,0.0,1.0,156.52777701298146,158.16575815668259,156.1350446919771,156.66188073234883,3321924.0
2017-10-24,165.26,166.485,163.59,163.88,7853717.0,0.0,1.0,158.29986187604993,159.47326942051419,156.7001960807395,156.97798235657183,7853717.0
2017-10-23,166.1,166.1,163.09,163.34,6205428.0,0.0,1.0,159.10448419225398,159.10448419225398,156.22125422585611,156.4607251532978,6205428.0
2017-10-20,167.23,167.9,165.5,166.3,5577713.0,0.0,1.0,160.18689278429036,160.8286748698341,158.52975396639394,159.29606093420733,5577713.0
2017-10-19,165.82,166.95,164.92,166.5,2478221.0,0.0,1.0,158.8362767535193,159.9186853455557,157.97418141472923,159.48763767616066,2478221.0
2017-10-18,165.29,166.25,163.89,165.77,2798259.0,0.0,1.0,158.3285983873429,159.248166748719,156.98756119366948,158.78838256803095,2798259.0
2017-10-17,164.92,166.02,164.75,165.4,2379719.0,0.0,1.0,157.97418141472923,159.02785349547264,157.81134118406888,158.43396559541728,2379719.0
2017-10-16,165.44,165.74,164.44,165.01,2133063.0,0.0,1.0,158.47228094380793,158.75964605673798,157.5143972340412,158.06039094860824,2133063.0
2017-10-13,164.45,165.51,164.08,165.37,2957629.0,0.0,1.0,157.52397607113886,158.5393328034916,157.16955909852518,158.40522908412427,2957629.0
2017-10-12,162.99,164.4,162.77,163.91,3023607.0,0.0,1.0,156.12546585487945,157.47608188565053,155.91473143873077,157.00671886786483,3023607.0
2017-10-11,160.9,163.24,160.58,163.15,3571477.0,0.0,1.0,154.123488901467,156.36493678232114,153.81696611434162,156.27872724844212,3571477.0
2017-10-10,159.69,161.58,159.59,160.58,2910443.0,0.0,1.0,152.96444961264925,154.77484982410837,152.86866124167256,153.81696611434162,2910443.0
2017-10-09,159.61,160.49,159.5,160.12,2119985.0,0.0,1.0,152.8878189158679,153.73075658046264,152.78245170779357,153.37633960784893,2119985.0
2017-10-06,158.58,160.1342,158.58,159.6,3548478.0,0.0,1.0,151.9011986948082,153.38994155652762,151.9011986948082,152.87824007877023,3548478.0
2017-10-05,157.3,158.92,157.3,158.8,2796033.0,0.0,1.0,150.67510754630675,152.22687915612883,150.67510754630675,152.11193311095687,2796033.0
2017-10-04,156.83,157.42,156.65,157.21,1823061.0,0.0,1.0,150.2249022027164,150.79005359147874,150.05248313495838,150.58889801242776,1823061.0
2017-10-03,156.75,157.459,156.36,156.86,2187705.0,0.0,1.0,150.14827150593504,150.82741105615966,149.77469685912604,150.2536387140094,2187705.0
2017-10-02,156.0,157.18,155.8009,156.96,2406969.0,0.0,1.0,149.42985872361,150.56016150113476,149.23914407699544,150.34942708498608,2406969.0
2017-09-29,157.51,158.04,156.12,156.68,3670057.0,0.0,1.0,150.87626312535775,151.38394149153413,149.544804768782,150.08121964625138,3670057.0
2017-09-28,156.16,158.31,155.48,157.49,4210128.0,0.0,1.0,149.58312011717268,151.64257009317114,148.93175919453128,150.85710545116243,4210128.0
2017-09-27,153.51,154.69,153.44,154.05,3915900.0,0.0,1.0,147.04472828629082,148.17503106381557,146.97767642660716,147.56198548956488,3915900.0
